index;element;x;y;z;Hirshfeld_Charge;cm5charge;1.2*CM5charge 
0;C;-6.030030;0.906370;-0.433280;-0.086086;-0.236685;-0.284021
1;C;-4.602670;0.896510;0.142080;-0.047852;-0.156936;-0.188323
2;H;-6.694960;0.292520;0.178550;0.014737;0.066267;0.079520
3;H;-6.034580;0.515620;-1.453410;0.021223;0.072770;0.087324
4;H;-6.422190;1.925420;-0.452440;0.016820;0.067785;0.081342
5;C;-4.031080;-0.535000;0.183640;0.037060;-0.042994;-0.051592
6;H;-4.613890;1.312460;1.152030;0.022975;0.080175;0.096211
7;H;-3.962910;1.536630;-0.468680;0.031618;0.091502;0.109803
8;H;-4.702990;-1.179860;0.753740;0.021938;0.085321;0.102386
9;O;-2.754400;-0.529810;0.857100;-0.173074;-0.252009;-0.302411
10;H;-3.911670;-0.941500;-0.825060;0.026705;0.093881;0.112657
11;S;-1.452620;-0.420340;-0.032960;0.401356;0.542575;0.651090
12;O;-0.474630;0.080290;1.111800;-0.507293;-0.537457;-0.644948
13;O;-1.083700;-1.753140;-0.417460;-0.398165;-0.443162;-0.531794
14;O;-1.600940;0.599150;-1.033350;-0.380808;-0.429881;-0.515857
